pull_id,pull_no,title,body
415676674,8827,b'RavenDB-12957 fixing concurrent access to context in IncomingReplicat\xe2\x80\xa6',b'\xe2\x80\xa6ionHandler'
415660753,8826,b'RavenDB-12461 - Pull replication & encrypted backup integration',b''
415658223,8825,b'RavenDB-12936 : counters work',b'https://issues.hibernatingrhinos.com/issue/RavenDB-12936'
415645522,8824,b'Raven db 12955',b''
415628081,8823,b'RavenDB-12943 added QueryMethodConverter',b''
415536373,8822,b'RavenDB-12731 support for comparison between LCSV and LSV',b'Took it from v4.2'
415468868,8821,b'RavenDB-7070 fixed link',b''
415468573,8820,b'RavenDB-7070 fixed link',b''
415330055,8819,b'4.1 to 4.2 merge',b''
415316343,8818,"b""RavenDB-12967 Race condition in data exploration means that we aren't\xe2\x80\xa6""",b'\xe2\x80\xa6 sending any results out\r\n\r\n- Underlying issue was that we were disposing the cancellation token too early'
415306322,8817,b'RavenDB-12966 Select() in Include() causes ArgumentException when lis\xe2\x80\xa6',b'\xe2\x80\xa6t property is empty'
415300206,8816,b'RavenDB-12964 Raven Embedded should allow to point to a server directory',b''
415246573,8815,b'RavenDB-12843: Fix race where we commit (and therefor staleness) but \xe2\x80\xa6',b'\xe2\x80\xa6only then waiting for merger to save reduce'
415214825,8814,b'RavenDB-12890 - dispose the CounterValues',b''
415198077,8813,b'RDBC-285 fixing test',b''
415188245,8812,"b'RavenDB-12845, 12875, 12887'",b''
415185494,8811,b'RavenDB-12963 - Leader is stepping down when the snapshot is too large',b'https://issues.hibernatingrhinos.com/issue/RavenDB-12963'
415168215,8810,"b'RavenDB-12875, RavenDB-12887: normal parallelism in tests'",b''
415162046,8809,b'Raven db 12875',b''
415160472,8808,b'RavenDB-12960 fixed possible SOE after receiving HttpStatus.Gone',b''
415047807,8807,b'RavenDB-12961',"b'- we cannot dispose context after reding restore settings, because those settings contain BJRO\r\n- when doing ToJson on AddDatabaseCommand we need to clone the BJRO to the new context'"
415008172,8806,b'Raven db 12811',b''
414981729,8805,b'4.1 to 4.2 merge',b''
414791158,8804,b'RavenDB-12959: Pool collectors lists',b''
